Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"McDonald's Corporation","MCD","6792.19482",".23","-7.54","29536.40039","2890.60009","5327.20019","1.47","-5.24","1.99","7.25","10858.20019","9494.7998","22820.4","3.82999","10418.34667","17.46","15.27299","178.36","125020.16","2.51","2.39","18.91","","5.79","22.23","775.8","-133.89","22.69","19.158","26.85","3572733.25"
"Millennium Cell Inc.","MCELQ","","","","","","","","","","","","","","0","","","",".01",".01","0","","","","","","75.62","","","","","5000"
"The Monarch Cement Co.","MCEM","","","","","","","","","-.18","","","","165.23","1.35","","","","78","289.3","1.71","","","","","","3.96","","","","","766.85"
"MCBC Holdings, Inc.","MCFT","27.214","","2.09","30.79","36.88","21.64999",".7","",".56","1.73","37.09999","33.50999","228.63","0","79.5414","24.14","26.559","30.94","477.25","0",".76","17.5","12.22","1.61","15.12","18.68","130.22","38.55","64.17099","10.7","114671.95"
"Gear International Inc.","MCHA","-.30001","-.59",".01",".55",".11999",".28","1.63","",".01","","-.30001","-.30001",".51","0","","-23.65","","3.65","25.73","0","","","48.55","47.3","","50.46","-68.04","-32.51","","-63.79","28.1"
"Microchip Technology Incorporated","MCHP","2019.59997",".06","21.75","1758.40002","2017.40002","3356.30004","1.32","1.96","1.61","5.78","1665.19995","936.29998","3980.8","1.449","9776.83496","12.59","12.034","103.31","19553.67","1.75",".87","9.63","3.82","4.63","15.04","235.56","36.33","16.68","15.277","32.56","3587607.5"
"Marchex, Inc.","MCHX","-2.68301","-.07","2.03","0","32.72999","121.08999","7.81","0","0",".01","-3.55","-6.34001","90.29","0","113.64704","-2.87","-3.12241","3.55","113.65","0","","","1.34","1.32","","41.78","-3.44","-3.44","-3.55551","-3.76","48284.7"
"Barings Corporate Investors","MCI","","","","","","","","","","","","","","1.2","","","","16.2","305.54","7.82","","","","","","19.91","","","","","17728.85"
"Mcig, Inc.","MCIG","1.53699","",".02","0","1.62999","1.98","2.73","","0","0","1.54999","1.53999","4.78","0","","15.76","-163.83901",".39","108.41","0","","56.67","14.29","12.72","","433.66","18.86","18.86","-250.31701","14.05","908843.13"
"Macau Capital Investments Inc.","MCIM","","","","","","","","","","","","","","0","","","",".13","","0","","","","","","","","","","","13961.9"
"McKesson Corporation","MCK","5812","0","48.29","6751","36685","37136","1",".68","2.9","13.08","3690","522","208357","1.29999","2584.6372","4.34","4.80019","176.72","25846.37","1.05","1.37","4.59","2.68",".12","9.89","199.77","25.19","14.06","14.59899","1.29","1812217.75"
"McRae Industries Inc.","MCRAA","","","","","","","","",".03","1.15","","","104.32",".51999","","","","37.45","59.14","1.81","","","",".73","25.03","2.06","","","","3.41","213.35"
"Seres Therapeutics, Inc.","MCRB","-82.34","-2.78","-.32","8.97999","31.62","155.07","2.76","-.61","-.68","-2.25","-82.34","-89.38","32.1","0","65.76316","-52.81","-38.202","16.85","328.82","0","","","","9.49","","40.8","-256.24","-205.78","-68.697","-264.31","82157.3"
"Monarch Casino & Resort, Inc.","MCRI","42.66899",".11","15.69","26.2","39.40999","46.02999",".72",".13",".5","1.66","56.31999","40.65","230.73","0","416.45223","9","7.7019","48.61","832.9","0","1.99","19.32","2.97","3.54","28.05","17.89","11.47","10.36","8.8283","13.12","63789.15"
"Milacron Holdings Corp.","MCRN","182.3","0","-2.17","916.40002","306.6","704.90002","2.33","-5.73",".48","1.79","125.8","62.79999","1234.2","0","278.59625","6.89","7.4429","22.09","1392.98","0","1.42","7.52","","1.09","11.04","70.5","-85.21","8.87","9.40639","9.94","351095.09"
"MORGAN ADV MATL","MCRUF","","","","","","","","","","","","","","0","669.19262","","","4.69","1338.39","0","1.94","","","","","285.37","","","","","1.25"
"Marcus Corporation (The)","MCS","96.06099",".1","16.62","318.08999","159.67999","76.72",".49",".64",".65","1.85","132.57","80.20999","622.71",".4875","537.41253","5.26","5.2957","40.2","1074.83","1.57","1.45","11.08","2.3","1.6","20.68","28.1","11.83","6.89","7.06949","7.81","127723.15"
"Medical Connections Holdings Inc.","MCTH","","","","","","","","","","","","","","0","","","",".01",".06","0","","","","","","24.5","","","","","3297.5"
"Medicure Inc.","MCUJF","14.87699","1.6","4.18","0","33.68999","88.37","7.98","",".07",".3","8.52999","2.50999","20.92","0","","5.32","-6.6408","7.14","86.34","0","","5.82","1.31","4.23","18.27","15.76","11.58","8.89","-74.515","27.85","1267.65"
"Mercury General Corporation","MCY","145.845",".04","30.9","371.32998","2720.79003","1170.55004",".4",".22",".88","1.7","237.58","182.24","3415.96","2.4925","1461.0415","1.84","2.33769","58.79","2922.08","4.73",".69","20.04","1.71",".86","31.06","55.33","5.44","4.48","5.137","2.78","294305.69"
"Mad Catz Interactive Inc","MCZAF","-4.66","","",".14","49.81999","39.83","","","","","-6.32001","-9.09001","134.07","0","","","-10.81201",".01",".44","0","","","","","","73.47","","","-97.032","","298247.19"
"Mednax, Inc","MD","400.82699",".09","34.1","1851.42004","531.41998","627.22998","1.52",".59","1.07","3.7","593.35998","484.97","3458.31","0","546.19781","5.51","7.87949","58.62","4369.58","0","1.26","10.92","1.37","1.21","13.59","93.47","10.42","6.48","9.3843","8.92","830938.56"
"MongoDB, Inc.","MDB","-71.52501","-.62","3.41","0","142.61","343.54998","2.25","","-.43","","-91.362","-95.062","154.52","0","3278.29248","-22.18","","64.75","3278.29","0","","","18.99","","","50.63","-112.78","-48.46","","","874856.81"
"M.D.C. Holdings, Inc.","MDC","152.755",".06","26.4","1098.93005","274.05999","2744.22998","9.59",".72","1.12","3.46","235.05","229.72999","2577.61",".92593","252.999","7.2","4.31319","34.69","1770.99","3.82",".45","11.52","1.19",".65","9.06","56.44","13.82","8.01","4.7698","7.25","424652"
"MDC Partners Inc.","MDCA","81.93299",".16","-4.23","882.79998","775.63","542.77001",".77","-4.11",".02","0","193.86","152.19","1513.78","0","276.02401",".92","-.72809","12.1","276.02","0","17.78","3.42","",".19","","57.51","-5.04","2.03","-2.1095","1.06","375222.25"
"The Medicines Company","MDCO","-558.85499","-15.82",".29","649.19","175.49","563.29998","2.6","31.23","-.63","-4","-606.87","-655.71003","44.79","0","1470.30554","-33.65","-14.679","40.88","2940.61","0","","","138.57","84.25","","73.79","-394.33","-40.87","-22.431","-852.49","601412.44"
"Melco International Development Ltd.","MDEVF","245.792",".01","3.83","4430.49023","1930.26","1996.47998","1.03","","","","674.85998","489.89999","5283.4","0","","","","3.75","4487.54","0","","18.25",".76","","","1536.83","","","","","1758.15"
"Medifocus, Inc.","MDFZF","-1.17101","-.58","-.05","0","12.14999",".92",".08","","-.01","-.01","-1.17","-1.54","2.67","0","","-58.06","-92.778",".05","2.89","0","","","","1.08","","184.98","","","","-57.58","1230"
"Madrigal Pharmaceuticals, Inc.","MDGL","-31.084","","31.63","0","10.05","192.00999","90.47","0","-.45","-2.25","-31.08","-31.15","","0","913.64501","-12.74","-78.585","313.9","3654.58","0","","","7.52","","","15.37","-13.17","-13.17","-118.53601","","223832.05"
"CytoCore Inc.","MDIT","-6.33","-1",".09","4.90999","3.77999","3.46","1.14","1.05","-.04","-.21","-5.97","-6.45","6.81","0","","-36.53","-67.77301",".76","3.03","0","","",".59",".41","","59.37","-112.96","-54.19","-28.196","-83.53","2208.75"
"Mediaset SpA","MDIUY","1180.29602","","","1111.13","2975.8601","2232.12011","","","","","1340.53002","-165.66001","4057.9","0","","","","12.38","3722.84","0","","3.15","","","","393.74","","","","","289.95"
"Medley Management Inc.","MDLY","18.12999",".01","-17.33","126.12","25.12999","36.31999","1.16","-1.31",".05",".24","34.15","31.11","65.56",".8","","7.85","9.5093","7.15","30.35","14.68","","1.65","",".47","22.71","5.57","-10.97","9.72","12.498","13.98","150336.75"
"Mondelez International, Inc.","MDLZ","4086",".11","17.24","12972","15793","7520",".55",".59",".56","2.32","4322","3506","25896",".81999","6959.64208","5.51","4.55609","45.87","62636.78","2.06","1.58","15.56","2.48","2.38","18.41","1466.56","13.42","8.84","7.21369","13.25","7308799"
"MANDOM CORP","MDOMF","","","","","","","","",".01","1.13","","","734.92","0","1674.93432","","","36.75","1674.93","0","7","","","2.31","30.71","48.27","","","","","16.9"
"Meredith Corporation","MDP","243",".04","24.46","3117.8999","1190.30004","1979.09997","1.66","2.84",".74","3.64","380.57998","69.8","2247.4","2.13","2274.85839","2.8","5.58729","71.8","2274.86","4.3",".61","9.36","2.07","1.01","13.93","44.87","12.17","4.49","9.5324","5.94","415511"
"McDermott International, Inc.","MDR","296.23199",".06","19.75","512.71002","706.92999","1434.25",".93",".96",".29","2.09","437.07998","323.11999","2984.77","0","3332.69433","4.36","-.61665","26.94","3332.69","0","","5.9",".93",".83","8.83","180.54","10.38","6.68","-1.66971","5.78","2341329.5"
"Allscripts Healthcare Solutions, Inc.","MDRX","304.30599","-.08","6.54","1539.01","868.26","845.83001",".94","1.41",".18",".68","96.38999","-122.14","1806.3","0","254.93061","2.24","1.81949","16.03","2549.31","0","1.91","8.67","2.23","1.27","29.2","174.61","8.26","3","2.4351","4.69","1992499.38"
"Medidata Solutions, Inc.","MDSO","90.79599",".08","9.41","92.83999","429.10998","637.60998","1.41",".16",".43","1.57","110.16999","69.98","545.53","0","666.7514","5.63","4.195","88.28","4667.26","0","4.9","50.36","8.31","7.96","80.63","59.68","11.37","10.01","5.6437","9.93","932836.63"
"ModSys International Ltd.","MDSYF","12.156","","","2.01999","3.17","3.2","","","","","-.27001","-12.96001","10.98","0","","","-14.827","1.48","27.87","0","","2.25","","","","19.09","","","-18.125","","419.25"
"Medtronic PLC","MDT","9161",".1","37.5","23699","10084","22980","2.28","","1.42","4.78","9452","6821","29953","1.84","8747.4873","6.84","7.7265","91.22","122464.83","2.21","2.46","13.4","2.42","4.09","18.95","1351.71","12.84","8.56","9.70139","21.8","3957643.25"
"MDU Resources Group, Inc.","MDU","452.88",".06","12.5","1566.34997","812.84997","1069.98999","1.39",".71",".22","1.29","640.28002","432.79998","4443.4",".77499","1885.69323","3.93","3.5113","29.6","5657.08","2.74","3.21","12.45","2.31","1.26","22.37","196.02","10.4","6.21","5.41839","5.61","874641.5"
"Medovex Corp.","MDVX","-6.40001","-32.25","-.01",".02999",".46999","1.12999",".71","-.03","-.06","","-6.01001","-6.06",".2","0","","-387.01","-195.833","1.26","8.44","0","","","","14.04","","23.47","-907.4","-868.36","-308.38401","-887.02","21607.3"
"MediWound Ltd.","MDWD","-13.973","-8.87",".04","0","5.42999","41.52","6.02","0","-.15","-.56","-12.72001","-13.28","2.5","0","34.35095","-33.92","-46.53401","7.35","171.75","0","","","166.75","60.91","","27.05","-210.9","-210.9","-131.525","-513.23","29497.7"
"MDWerks Inc.","MDWK","","","","","","","","","","","","","","0","","","",".04",".05","0","","","","","","17.99","","","","","10775"
"MiMedx Group, Inc","MDXG","19.905","","","0","50.72999","126.52999","","",".08",".29","25.54999","18.43","245.01","0","","","8.30099","17.96","431.93","0","","21.4","","1.42","18.52","111.04","","","11.074","","2983844.75"
"MEDIFAST INC","MED","32.631",".09","8.61","0","37.13999","125.19","2.53","0","1.16","3.32","45.22999","40.31999","301.56","1.44","2522.8562","27.42","18.968","214.7","2522.86",".91","2.35","77.2","24.53","6.8","63.58","11.95","37.25","37.25","25.12599","10.87","255180.41"
"Disaboom Inc.","MEDH","","","","","","","","","","","","","","0","","","",".09",".98","0","","","","","","39.4","","","","","29335.3"
"Medpace Holdings, Inc.","MEDP","98.815",".09","15.18","231.71","192.69999","129.97",".68",".32",".61","2","102.83999","64.48999","436.15","0","514.22436","7.79","","61.37","2056.9","0","1.48","21.99","3.81","3.98","28.92","35.57","14.22","10.27","","14.47","737793.38"
"Midwest Energy Emissions Corp.","MEEC","-.653","-.11","-.1","9.89999","6.57","6.21",".34","-1.22","-.02","-.06","2.03999","-.21","27.5","0","15.02046","-46.6","-115.821",".47","15.02","0","","","",".8","","76.25","","-98.69","","-25.87","42256.2"
"MeetMe, Inc.","MEET","34.769","-.52","2.53","40.81999","48.81999","53.84","1.15",".18",".08",".36","-45.26","-57.02001","123.75","0","147.01943","7.62","4.67889","4.68","294.04","0","1.06","8.3","1.59","1.92","15.46","73.14","10.24","9","4.98619","13.51","893170.63"
"Meggitt PLC Unsponsored ADR","MEGGY","","","","","","","","","","","","","2701.4",".35282","5283.60595","","","15.3","5283.61","3.77","","","","","","388.21","","","","","814.35"
"Methode Electronics, Inc.","MEI","140.82",".06","17.09","53.4","157","550","3.5","",".98","3.09","151.89999","123.8","908.3",".4","739.17492","13.02","13.06099","47.75","1478.35","1.1","","10.45","2.34","1.63","12.93","37.01","19.04","16.81","16.593","12.75","154563.09"
"Methes Energies International Ltd.","MEIL","","","","","","","","","","","","","","0","","","-50.88801",".02",".11","0","","","","","","13.86","","","-110.00901","","4726.6"
"MEI Pharma, Inc.","MEIP","2.75","",".88","0","4.86","55.31999","8.27","","-.16","-.68","2.75","2.67","23.25","0","34.24385","-54.49","-37.21301","4.95","136.98","0","","49.07","4.16","89.94","","37.32","-60.75","-60.75","-40.48601","-1651.87","304114.06"
"MercadoLibre, Inc.","MELI","152.82",".01","3.5","312.07998","968.03002","1286.91003","1.15","2.15","-.25",".29","121.44999","80.52999","1398.09",".6","2045.09997",".75","13.286","413.94","14315.7",".09","","93.68","92.52","9.78","1117.93","44.16","4.32","2.04","22.54899",".84","740852.56"
"Mendocino Brewing Co., Inc.","MENB",".07999","","",".75","17.87","6.26999","","","","",".68","-.54001","31.18","0","","","-6.96601",".3","1.39","0","","17.34","","","","12.61","","","-57.21201","","1486.55"
"Methanex Corporation","MEOH","641.35498",".1","21.97","1446.35998","747.94","1243.11999","1.62",".83","1.75","6.08","798.04998","565.83001","3060.64","1.17499","5612.81689","10.91","6.3322","73.35","5612.82","1.87",".73","9.23","3.21","1.61","11.6","79.56","28.64","15.77","8.64529","14.58","461579.06"
"Mercer International Inc.","MERC","155.77299",".06","8.26","690.45001","430.45999","852.33001","3.51","1.37",".26","1.61","244.00999","158.72","1169.15",".46999","","6.86","3.98119","18.5","1124.73","2.9","","7.2","2.09",".83","10.71","65.2","19.39","8.41","4.68819","7.75","273381.56"
"MERLIN ENTMNTS","MERLY","463.95901",".13","3.96","1882.93005","462.67001","581.23999","1.26","","","","614.73999","420.14001","2054.35",".1592","4844.65917","","","13.02","4844.66","1.16","","10.42","2.39","","","511.04","","","","","8310.95"
"Merriman Holdings Inc.","MERR","","","","","","","","","","","","","","0","","","-65.225",".1",".05","0","","","","","","4.56","","","-107.974","","240.85"
"MESA AIR GROUP","MESA","","","","","","","","","","","","","","0","","","","11.75","400.7","0","","","","","","34.13","","","","","782441.38"
"Mesoblast Limited","MESO","-73.765","","5.91","0","36.66999","63.59999","3.46","","-.22","-.72","-87.16001","-90.21","2.41","0","118.65545","-9.73","","7.72","593.28","0","","","1.07","36.61","","94.17","-11.77","-11.61","","-400.94","74905.55"
"MetLife, Inc.","MET","4711",".06","54.11","16807","382431","56263",".15",".29","1.3","4.86","3287","3536","62094","1.6","6528.97949",".73",".67299","55.73","45702.86","3.66",".7","10.26",".85",".67","9.45","994.84","9.17","7.07","6.6237","7.57","5410567.5"
"ROMACO RESOURCS","METC","-12.26701","-.25","3.25","0","22.42","29.45999","1.09","0",".25",".15","-12.24","-15.39001","61.04","0","75.20385","4.06","","9","300.82","0","","","2.31","1.88","50.03","40.08","5.55","5.55","","4.15","92392.4"
"MFA Financial, Inc.","MFA","354.233",".74","8.05","6614.70019","0","2696.68994","","1.84",".17",".76","551.36999","519.53002","433.45",".8","3072.68945","2.94","2.47219","8.86","3072.69","10.38","","8.64",".96","7.47","10.14","398.53","9.82","3.26","2.63299","77.32","6316585.5"
"Manulife Financial Corp","MFC","5879.66796",".04","16.21","3691.13989","0","63089.71875","",".11",".54","1.93","5167.60009","2807.88989","44971.41",".63086","7452.18603",".69",".55068","21.99","37260.93","3.65",".93","6.32","1.16",".94","9.73","1984.07","12.69","8.92","7.8635","10.02","1990103.38"
"MFC Bancorp Ltd.","MFCB","-31.71","-.17","17.24","0","71.55999","115.15","1.61","","-2.13","-2.79","-17.94001","-23.13","211.3","0","","-9.95","-2.4197","9.53","80.78","0","","",".37",".38","","12.52","-15.89","-13.92","-4.17921","-17.76","2775.75"
"Microwave Filter Co.","MFCO","-.18401","-.09",".41",".27",".34999","1.5","4.52",".21","-.01","-.08","-.17001","-.25","3.04","0","","-10.87","-7.0926",".72","1.53","0","","","1.43",".5","","2.58","-16.37","-13.43","-8.5623","-6.06","273.4"
"Mizuho Financial Group, Inc.","MFG","6660.56005",".16","6.98","116597.10156","1590484","1484942",".92",".82",".11",".42","13731.16992","12118.75","32156.96",".11044","",".29",".32925","3.99","44390.92","2.97","","6.66",".5","1.31","8.33","12683.12","6.16","3.14","3.55029","15.88","673776.38"
"Micro Focus International PLC Sponsored ADR","MFGP","","","","","","","","","","","","","",".33636","7081.27343","","","35.88","7081.27","6.94","","","","","","436.04","","","","","1062243.38"
"BR-MUNIHLD INSR","MFL","","","","","","","","","","","","","",".85799","","","","15.22","482.04","6.04","","","","","","37.9","","","","","61937.05"
"MFS Municipal Income Trust","MFM","","","","","","","","","","","","","",".38475","","","","7.27","278.46","5.49","","","","","","41.07","","","","","46761.15"
"Mobivity Holdings Corp.","MFON","-5.53001","-.69",".04",".18","5.57","1.54999","1.09",".11","-.04","-.11","-5.37","-5.78001","8.59","0","","-121.01","-79.448","1.4","52.65","0","","","26.46","5.65","","45.78","","","-156.98301","-67.24","11302.8"
"BR-MUNIYLD INSR","MFT","","","","","","","","","","","","","",".81999","","","","15.27","110.54","6.04","","","","","","8.48","","","","","9230.55"
"MFS Special Value Trust","MFV","","","","","","","","","","","","","",".6004","","","","6.8","39.57","10.62","","","","","","7.16","","","","","28497.65"
